dataset_type,n,algorithm,avg_time_us,avg_char_comparisons,runs,sorted_ok
reverse_sorted,1400,standard_mergesort,88.257,11153.000,5,1
reverse_sorted,1400,string_quicksort,82.781,31318.000,5,1
reverse_sorted,1400,string_mergesort_lcp,295.888,28691.000,5,1
reverse_sorted,1400,msd_radix_sort,103.977,3396.000,5,1
reverse_sorted,1400,msd_radix_quick_sort,59.431,15197.000,5,1
reverse_sorted,1500,standard_quicksort,139.395,21376.000,5,1
reverse_sorted,1500,standard_mergesort,105.798,12079.000,5,1
reverse_sorted,1500,string_quicksort,133.227,34064.000,5,1
reverse_sorted,1500,string_mergesort_lcp,254.165,31143.000,5,1
reverse_sorted,1500,msd_radix_sort,111.610,3643.000,5,1
reverse_sorted,1500,msd_radix_quick_sort,61.723,16265.000,5,1
reverse_sorted,1600,standard_quicksort,146.828,22842.000,5,1
reverse_sorted,1600,standard_mergesort,98.965,13086.000,5,1
reverse_sorted,1600,string_quicksort,97.573,36272.000,5,1
reverse_sorted,1600,string_mergesort_lcp,253.267,33734.000,5,1
reverse_sorted,1600,msd_radix_sort,112.147,3894.000,5,1
reverse_sorted,1600,msd_radix_quick_sort,61.981,17384.000,5,1
reverse_sorted,1700,standard_quicksort,163.140,24477.000,5,1
reverse_sorted,1700,standard_mergesort,108.088,13913.000,5,1
reverse_sorted,1700,string_quicksort,96.065,38701.000,5,1
reverse_sorted,1700,string_mergesort_lcp,284.859,35960.000,5,1
reverse_sorted,1700,msd_radix_sort,114.566,4129.000,5,1
reverse_sorted,1700,msd_radix_quick_sort,64.829,18444.000,5,1
reverse_sorted,1800,standard_quicksort,160.907,26052.000,5,1
reverse_sorted,1800,standard_mergesort,111.118,14879.000,5,1
reverse_sorted,1800,string_quicksort,102.889,41442.000,5,1
reverse_sorted,1800,string_mergesort_lcp,294.154,38531.000,5,1
reverse_sorted,1800,msd_radix_sort,134.364,4359.000,5,1
reverse_sorted,1800,msd_radix_quick_sort,74.979,19504.000,5,1
reverse_sorted,1900,standard_quicksort,183.610,27485.000,5,1
reverse_sorted,1900,standard_mergesort,123.093,15878.000,5,1
reverse_sorted,1900,string_quicksort,112.654,44340.000,5,1
reverse_sorted,1900,string_mergesort_lcp,367.054,41160.000,5,1
reverse_sorted,1900,msd_radix_sort,176.298,4605.000,5,1
reverse_sorted,1900,msd_radix_quick_sort,100.719,20595.000,5,1
reverse_sorted,2000,standard_quicksort,242.646,29310.000,5,1
reverse_sorted,2000,standard_mergesort,187.877,17042.000,5,1
reverse_sorted,2000,string_quicksort,217.550,46955.000,5,1
reverse_sorted,2000,string_mergesort_lcp,467.397,44162.000,5,1
reverse_sorted,2000,msd_radix_sort,191.993,4850.000,5,1
reverse_sorted,2000,msd_radix_quick_sort,103.223,21741.000,5,1
reverse_sorted,2100,standard_quicksort,225.500,31021.000,5,1
reverse_sorted,2100,standard_mergesort,138.965,18050.000,5,1
reverse_sorted,2100,string_quicksort,135.561,49619.000,5,1
reverse_sorted,2100,string_mergesort_lcp,398.914,46716.000,5,1
reverse_sorted,2100,msd_radix_sort,154.715,5093.000,5,1
reverse_sorted,2100,msd_radix_quick_sort,87.947,22828.000,5,1
reverse_sorted,2200,standard_quicksort,319.983,32348.000,5,1
reverse_sorted,2200,standard_mergesort,140.356,18637.000,5,1
reverse_sorted,2200,string_quicksort,141.852,52758.000,5,1
reverse_sorted,2200,string_mergesort_lcp,461.988,48360.000,5,1
reverse_sorted,2200,msd_radix_sort,166.702,5348.000,5,1
reverse_sorted,2200,msd_radix_quick_sort,100.673,23925.000,5,1
reverse_sorted,2300,standard_quicksort,240.505,33754.000,5,1
reverse_sorted,2300,standard_mergesort,162.392,19404.000,5,1
reverse_sorted,2300,string_quicksort,147.445,55332.000,5,1
reverse_sorted,2300,string_mergesort_lcp,464.299,50444.000,5,1
reverse_sorted,2300,msd_radix_sort,195.933,5590.000,5,1
reverse_sorted,2300,msd_radix_quick_sort,119.244,25045.000,5,1
reverse_sorted,2400,standard_quicksort,340.774,35381.000,5,1
reverse_sorted,2400,standard_mergesort,237.957,20299.000,5,1
reverse_sorted,2400,string_quicksort,156.542,58571.000,5,1
reverse_sorted,2400,string_mergesort_lcp,434.722,52678.000,5,1
reverse_sorted,2400,msd_radix_sort,195.662,5827.000,5,1
reverse_sorted,2400,msd_radix_quick_sort,111.939,26136.000,5,1
reverse_sorted,2500,standard_quicksort,269.496,36990.000,5,1
reverse_sorted,2500,standard_mergesort,224.172,21262.000,5,1
reverse_sorted,2500,string_quicksort,254.239,60627.000,5,1
reverse_sorted,2500,string_mergesort_lcp,553.017,55249.000,5,1
reverse_sorted,2500,msd_radix_sort,222.953,6075.000,5,1
reverse_sorted,2500,msd_radix_quick_sort,118.408,27212.000,5,1
reverse_sorted,2600,standard_quicksort,270.662,39030.000,5,1
reverse_sorted,2600,standard_mergesort,188.132,22098.000,5,1
reverse_sorted,2600,string_quicksort,167.685,63545.000,5,1
reverse_sorted,2600,string_mergesort_lcp,460.710,57513.000,5,1
reverse_sorted,2600,msd_radix_sort,195.573,6320.000,5,1
reverse_sorted,2600,msd_radix_quick_sort,110.842,28330.000,5,1
reverse_sorted,2700,standard_quicksort,271.467,40986.000,5,1
reverse_sorted,2700,standard_mergesort,216.584,22861.000,5,1
reverse_sorted,2700,string_quicksort,231.501,66834.000,5,1
reverse_sorted,2700,string_mergesort_lcp,480.699,59614.000,5,1
reverse_sorted,2700,msd_radix_sort,227.846,6556.000,5,1
reverse_sorted,2700,msd_radix_quick_sort,112.892,29400.000,5,1
reverse_sorted,2800,standard_quicksort,253.882,42641.000,5,1
reverse_sorted,2800,standard_mergesort,185.038,23883.000,5,1
reverse_sorted,2800,string_quicksort,184.177,68883.000,5,1
reverse_sorted,2800,string_mergesort_lcp,474.636,62224.000,5,1
reverse_sorted,2800,msd_radix_sort,249.944,6797.000,5,1
reverse_sorted,2800,msd_radix_quick_sort,126.303,30484.000,5,1
reverse_sorted,2900,standard_quicksort,297.537,44205.000,5,1
reverse_sorted,2900,standard_mergesort,274.913,24630.000,5,1
reverse_sorted,2900,string_quicksort,180.304,72649.000,5,1
reverse_sorted,2900,string_mergesort_lcp,480.047,64403.000,5,1
reverse_sorted,2900,msd_radix_sort,226.462,7036.000,5,1
